MaCauHinh;GiaTri;MoTa;UpdateDate;MaGiaoXuRieng
CURRENT_DB_VERSION;2.1.3.0;Phiên bản hiện tại;2018/10/05 01:54:05;1234
AUTO_UPDATE;1;Cho phép tự động cập nhật;2018/10/05 01:54:05;1234
TEMPLATE_FOLDER;Xuan Loc;Thư mục chứa các mẫu báo cáo;2018/10/05 01:54:05;1234
SOGIADINH_IN_GACHNGANG;0;In gạch ngang trong sổ gia đình với những người thuộc hồ sơ lưu trữ;2018/10/05 01:54:05;1234
SOGIADINH_IN_LAPGD;0;In cả những người đã lập gia đình trong sổ gia đình;2018/10/05 01:54:05;1234
SOGIADINH_IN_LUUTRU;0;In cả những người thuộc hồ sơ lưu trữ trong sổ gia đình;2018/10/05 01:54:05;1234
US_FORMAT_NAME;1;In họ tên theo định dạng kiểu Mỹ (tên trước họ sau);2018/10/05 01:54:05;1234
SOGIADINH_INNOISINH;1;In nơi sinh và nơi rửa tội;2018/10/05 01:54:05;1234
CURRENT_GIAOHO;1;;2018/10/05 01:54:05;1234
SOGIADINH_THAYSTT_MAGIAODAN;0;;2018/10/05 01:54:05;1234
TUNHAP_MAGIADINH;1;;2018/10/05 01:54:05;1234
CHUANHOA_TUCHUANHOA;1;Cho phép chuẩn hóa dữ liệu nhập một cách tự động;2018/10/05 01:54:05;1234
CHUANHOA_TUDOIDAU;1;Cho phép tự đổi cách bỏ dấu sang kiểu cũ khi chuẩn hóa dữ liệu nhập một cách tự động;2018/10/05 01:54:05;1234
SOBITICH_HIENTATCAGIAODAN;0;Cho phép hiện tất cả giáo dân tìm được khi chọn vào sổ bí tích;2018/10/05 01:54:05;1234
CHUANHOA_TUCHUYENMA;1;Cho phép tự chuyển sang mã unicode dựng sẵn khi chuẩn hóa dữ liệu nhập một cách tự động;2018/10/05 01:54:05;1234
CHUANHOA_TRONGNGOAC;2;Cách để từ trong ngoại khi chuẩn hóa dữ liệu nhập một cách tự động;2018/10/05 01:54:05;1234
MAX_BACKUP;40;;2018/10/05 01:54:05;1234
FONT_NAME;MS Sans Serif;;2018/10/05 01:54:05;1234
FONT_SIZE;8.25;;2018/10/05 01:54:05;1234
REPORT_LANGUAGE;vi-vn;Ngôn ngữ báo cáo;2018/10/05 01:54:05;1234
